participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
H005;22;Vrouwelijk;Rechts;0;1;left;no;200;leftarrow;922;true;focus;yes;179779;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;2;left;no;200;leftarrow;517;true;focus;yes;181838;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;3;right;yes;200;leftarrow;335;false;focus;yes;183704;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;4;right;no;150;rightarrow;356;true;focus;yes;185583;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;5;left;no;150;leftarrow;367;true;focus;yes;187493;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;6;left;yes;150;leftarrow;530;false;focus;yes;189564;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;7;right;no;100;rightarrow;513;true;focus;yes;191609;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;0;8;right;no;100;rightarrow;366;true;focus;yes;193507;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;1;left;no;100;leftarrow;457;true;focus;yes;214507;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;2;right;no;100;rightarrow;330;true;focus;yes;215613;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;3;left;no;100;leftarrow;260;true;focus;yes;216637;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;4;left;yes;100;rightarrow;264;false;focus;yes;217673;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;5;left;no;50;leftarrow;466;true;focus;yes;218915;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;6;right;no;50;rightarrow;398;true;focus;yes;220089;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;7;right;no;50;leftarrow;255;false;focus;yes;221130;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;8;right;yes;50;rightarrow;322;false;focus;yes;222215;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;9;right;no;50;leftarrow;294;false;focus;yes;223276;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;10;left;no;50;rightarrow;262;false;focus;yes;224316;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;11;left;no;50;leftarrow;293;true;focus;yes;225379;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;12;right;no;50;leftarrow;273;false;focus;yes;226421;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;13;left;no;50;rightarrow;267;false;focus;yes;227452;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;14;right;yes;50;leftarrow;276;false;focus;yes;228495;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;15;left;yes;50;leftarrow;230;false;focus;yes;229494;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;16;right;no;50;rightarrow;16;true;focus;yes;230270;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;17;right;no;50;leftarrow;279;false;focus;yes;231311;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;18;left;no;50;leftarrow;302;true;focus;yes;232382;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;19;left;no;50;rightarrow;172;false;focus;yes;233323;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;20;right;no;50;leftarrow;285;false;focus;yes;234370;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;21;left;no;50;leftarrow;779;true;focus;yes;235922;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;22;left;yes;50;rightarrow;252;false;focus;yes;236951;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;23;right;no;50;leftarrow;264;false;focus;yes;237985;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
H005;22;Vrouwelijk;Rechts;1;24;right;yes;50;rightarrow;484;false;focus;yes;239238;Chrome;111.0;Windows;10;undefined;undefined;1504 x 1003;1504 x 1003
