participantID,age,gender,handedness,block_i,trial_i,stim,signal,SSD,response,rt,correct,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
participantID,age,gender,handedness,block_i,trial_i,stim,signal,SSD,response,rt,correct,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
S005,49,Mannelijk,Links,0,1,left,no,200,leftarrow,998,true,focus,yes,84103,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,2,right,no,200,rightarrow,429,true,focus,yes,86087,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,3,right,no,200,rightarrow,574,true,focus,yes,88200,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,4,left,yes,200,undefined,null,true,focus,yes,91007,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,5,right,yes,250,rightarrow,423,false,focus,yes,92968,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,6,left,no,200,leftarrow,437,true,focus,yes,94951,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,7,right,no,200,rightarrow,452,true,focus,yes,96951,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,0,8,left,no,200,undefined,null,false,focus,yes,99770,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,1,left,no,200,undefined,null,false,focus,yes,121535,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,2,left,no,200,undefined,null,false,focus,yes,123570,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,3,left,yes,200,leftarrow,415,false,focus,yes,124768,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,4,right,yes,150,rightarrow,376,false,focus,yes,125936,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,5,right,no,100,rightarrow,397,true,focus,yes,127103,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,6,left,no,100,undefined,null,false,focus,yes,129135,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,7,right,no,100,rightarrow,163,true,focus,yes,130072,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,8,right,no,100,undefined,null,false,focus,yes,132112,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,9,left,no,100,undefined,null,false,focus,yes,134157,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,10,right,yes,100,rightarrow,318,false,focus,yes,135263,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
S005,49,Mannelijk,Links,1,11,right,no,50,leftarrow,779,false,focus,yes,136824,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 1050
