participantID;age;gender;handedness;block_i;trial_i;stim;signal;SSD;response;rt;correct;focus;Fullscreen;time_elapsed;browser_name;browser_version;os_name;os_version;tablet;mobile;screen_resolution;window_resolution
S017;27;Mannelijk;Links;0;1;right;no;200;rightarrow;552;true;focus;yes;74216;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;2;right;no;200;rightarrow;490;true;focus;yes;76264;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;3;right;yes;200;undefined;null;true;focus;yes;79043;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;4;left;yes;250;leftarrow;598;false;focus;yes;81203;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;5;left;no;200;leftarrow;882;true;focus;yes;83616;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;6;left;no;200;leftarrow;883;true;focus;yes;86046;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;7;left;no;200;leftarrow;933;true;focus;yes;88537;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;0;8;right;no;200;rightarrow;661;true;focus;yes;90746;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;1;left;yes;200;undefined;null;true;focus;yes;112212;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;2;right;yes;250;undefined;null;true;focus;yes;114253;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;3;right;no;300;rightarrow;686;true;focus;yes;115724;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;4;right;no;300;rightarrow;640;true;focus;yes;117148;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;5;left;no;300;leftarrow;793;true;focus;yes;118717;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;6;right;no;300;rightarrow;822;true;focus;yes;120316;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;7;left;no;300;leftarrow;789;true;focus;yes;121891;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;8;left;no;300;leftarrow;849;true;focus;yes;123514;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;9;right;no;300;rightarrow;873;true;focus;yes;125176;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;10;right;yes;300;undefined;null;true;focus;yes;127219;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;11;left;yes;350;undefined;null;true;focus;yes;129263;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;12;right;no;400;rightarrow;818;true;focus;yes;130856;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;13;left;no;400;leftarrow;875;true;focus;yes;132502;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;14;right;no;400;rightarrow;845;true;focus;yes;134122;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;15;left;no;400;leftarrow;929;true;focus;yes;135833;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;16;left;no;400;leftarrow;779;true;focus;yes;137403;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;17;right;no;400;rightarrow;758;true;focus;yes;138933;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;18;left;no;400;leftarrow;882;true;focus;yes;140606;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;19;right;no;400;rightarrow;932;true;focus;yes;142305;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;20;right;yes;400;undefined;null;true;focus;yes;144348;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;21;left;no;450;leftarrow;553;true;focus;yes;145678;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;22;left;no;450;leftarrow;762;true;focus;yes;147225;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;23;right;no;450;rightarrow;729;true;focus;yes;148729;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;24;left;yes;450;undefined;null;true;focus;yes;150761;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
S017;27;Mannelijk;Links;1;25;left;no;500;leftarrow;814;true;focus;yes;152356;Chrome;104.0;Windows;10;undefined;undefined;1536 x 864;1536 x 864
